SKU,Name,"In stock?","Regular price"
,"MAQUINA LAVAR LOIÇA SAMSUNG 13 CONJ CINZA                   - Silver",1,880000
,"MAQUINA DE LAVAR/SECAR ROUPA SAMSUNG (12KG - INOX) - Cinza",1,1480000
,"MAQUINA DE LAVAR/SECAR ROUPA SAMSUNG (21KG - PRETA) - Preto",1,1980000
WA90F5S2UWW,"Máquina de Lavar Roupa Top Loader - 9 Kg",1,
,"MICROONDAS SAMSUNG ESPELHADO 40L C/GRILL - Silver",1,268000
,"MICROONDAS SAMSUNG SOLO 23L - BRANCO - Branco",1,164500
,"MICROONDAS SAMSUNG SOLO 23L - PRETO - Preto",1,159000
,"MICROONDAS SAMSUNG SOLO 28L - CINZA     - Silver",1,199000
,"MICROONDAS SAMSUNG GRILL 23L - PRETO - Preto",1,179000
,"MICROONDAS SAMSUNG GRILL 28L - PRETO - Preto",1,229000
,"ASPIRADOR SAMSUNG 1.5L C/ SACO - Azul - 1.800W - Azul.",1,119000
,"ASPIRADOR SAMSUNG 1.3L C/ SACO - PRETO 2.000 W - Preto",1,98000
,"Aspirador Vertical Samsung Jet 75 PET 550 W - Preto",1,599000
,"ASPIRADOR SAMSUNG VERTICAL 0,25 L 170 W - Branco",1,249000
,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (617L - CINZENTA) - Cinza",1,2380000
,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (617L - PRETO ESPELHADO)   - Preto",1,2980000
,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (635L - PRETO) - Preto",1,2580000
,"FRIGORÍFICO FRENCH DOOR SAMSUNG (636L - INOX) - Silver",1,3480000
,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L) - Preto",1,1890000
,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L) - Cinza",1,1480000
,"FRIGORÍFICO PREMIUM 4 PORTAS SAMSUNG (820L - ROSA) - Rosa",1,3980000
,"FRIGORÍFICO PREMIUM 4 PORTAS SAMSUNG (820L - BRANCO&LAVANDA) - Lavanda",1,3980000
,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (655L - CINZENTA) - Silver",1,1880000
,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (602L - CINZENTA) - Cinza",1,2980000
,"FRIGORÍFICO TOP FREEZER SAMSUNG (440L) - Silver",1,1198000
,"Galaxy SmartTag2 Branca - Branco",1,34900
,"POWERBANK SAMSUNG 10.000mAh 2xC 25w - Bege",1,33800
,"Capa Silicone SAMSUNG Galaxy S23 Preto c/Grip - Preto",1,36000
,"Máquina de Lavar Roupa Top Loader - 9 Kg - Silver",1,400000
,"Capa Galaxy Z Flip 5 Transparente Azul/Rosa - Blue",1,49800
,"Capa Galaxy Z Flip 5 Transparente Azul/Rosa - Pink",1,49800
,"Capa Galaxy S24 Ultra Smart View com bolso (Preto) - Preto",1,
,"Galaxy Z Fold 6",1,
SP-LFF3CLAXXXA,"PROJECTOR SAMSUNG SMART THE FREEASTYLE 100"" GEN2",1,"999000,00"
UA43DU7000KXXA,"TV SAMSUNG 43"" UHD 4K FLAT SMART TV - DU7000 (2024) SA",1,749000
UA50DU7000KXXA,"TV SAMSUNG 50"" UHD 4K FLAT SMART TV - DU7000 (2024) SA",1,799000
UA55DU7000KXXA,"TV SAMSUNG 55"" UHD 4K FLAT SMART TV - DU7000 (2024) SA",1,999000
UA65DU7000KXXA,"TV SAMSUNG 65"" UHD 4K FLAT SMART TV - DU7000 (2024) SA",1,1349000
UA75DU7000KXXA,"TV SAMSUNG 75"" UHD 4K FLAT SMART TV - DU7000 (2024) SA",1,1849000
QA65Q60DAKXXA,"TV SAMSUNG 65"" QLED 4K FLAT - Q60D (2024) SA",1,1825000
QA75Q60DAKXXA,"TV SAMSUNG 75"" QLED 4K FLAT - Q60D (2024) SA",1,2749000
QA98Q80CAKXXA,"TV SAMSUNG 98"" QLED 4K FLAT - Q80C (2024) SA",1,8399000
,"Galaxy Z Flip6",1,
,"Galaxy Z Fold6 5G",1,
SM-F956BLIDAFA,"Galaxy Z Fold6 5G - Rosa, 256GB",1,"2799000,00"
SM-F956BDBGAFA,"Galaxy Z Fold6 5G - Azul Escuro, 512GB",1,"2998000,00"
SM-F956BZSGAFA,"Galaxy Z Fold6 5G - Cinza, 512GB",1,"2998000,00"
,"Galaxy Z Flip6 5G",1,
SM-F741BLBAAFA,"Galaxy Z Flip6 5G - Azul.., 256GB",1,"1679000,00"
SM-F741BZSAAFA,"Galaxy Z Flip6 5G - Cinza, 256GB",1,"1679000,00"
SM-A256EZKDAFA,"Galaxy A25 5G DS 6+128GB PRETO",1,424900
SM-X115NDBAAFA,"Galaxy Tablet A9 4+64 4G+WIFI Azul     ",1,299000
,"Galaxy Z Fold6 5G (Cópia)",1,
SM-F956BLIDAFA-1,"Galaxy Z Fold6 5G (Cópia) - Rosa, 256GB",1,2799000
SM-F956BDBGAFA-1,"Galaxy Z Fold6 5G (Cópia) - Azul Escuro, 512GB",1,2998000
